词语,拼音,频序号
补差,bǔchā,45010
捕拿,bǔná,49357
搏,bó,11567
补偿,bǔcháng,3434
捕杀,bǔshā,20335
搏动,bódòng,35080
补充,bǔchōng,2564
捕食,bǔshí,18938
搏斗,bódòu,10511
补丁,bǔding,18585
捕捉,bǔzhuō,8560
搏击,bójī,15808
补发,bǔfā,19898
哺乳,bǔrǔ,22549
搏杀,bóshā,29910
补过,bǔguò,35238
哺养,bǔyǎng,44760
搏战,bózhàn,39623
补给,bǔjǐ,13391
哺育,bǔyù,17274
薄,bó,4140
补给线,bǔjǐxiàn,45897
堡,bǔ,4815
薄待,bódài,45895
补记,bǔjì,47082
堡子,bǔzi,38036
薄地,bódì,42774
补剂,bǔjì,52459
不,bù,5
薄技,bójì,55447
补假,bǔjià,55448
不安,bù'ān,3460
薄酒,bójiǔ,48635
补交,bǔjiāo,24539
不白之冤,bùbáizhīyuān,41799
薄礼,bólǐ,48003
补酒,bǔjiǔ,55887
不败之地,bùbàizhīdì,16286
薄利,bólì,48313
补救,bǔjiù,13235
不卑不亢,bùbēibùkàng,29590
薄利多销,bólìduōxiāo,37858
补考,bǔkǎo,30679
不备,bùbèi,22181
薄命,bómìng,32157
补课,bǔkè,15049
不比,bùbǐ,7747
薄膜,bómó,14587
补漏,bǔlòu,49742
不必,bùbì,2012
薄暮,bómù,31816
补苗,bǔmiáo,56363
不便,bùbiàn,4264
薄情,bóqíng,39822
补票,bǔpiào,39823
不才,bùcái,53888
薄弱,bóruò,4323
补品,bǔpǐn,30680
不测,bùcè,17456
薄田,bótián,51224
补缺,bǔquē,30024
不曾,bùcéng,4071
薄雾,bówù,25889
补税,bǔshuì,33958
不畅,bùchàng,13484
薄幸,bóxìng,49356
补台,bǔtái,48314
不成,bùchéng,27715
薄葬,bózàng,52016
补贴,bǔtiē,3172
不成才,bùchéngcái,54377
跛,bǒ,18684
补习,bǔxí,17620
不成方圆,bùchéngfāngyuán,39408
跛脚,bǒjiǎo,40693
补习班,bǔxíbān,23459
跛子,bǒzi,29806
补写,bǔxiě,45596
不成话,bùchénghuà,32805
跛足,bǒzú,44507
补休,bǔxiū,47083
不成器,bùchéngqì,35681
簸,bǒ,33435
补选,bǔxuǎn,21022
不成体统,bùchéngtǐtǒng,40048
簸荡,bǒdàng,52457
补血,bǔxuè,43025
不成文,bùchéngwén,27968
簸箩,bǒluo,52458
补养,bǔyǎng,40258
不成文法,bùchéngwénfǎ,55449
薄荷,bòhe,11872
补药,bǔyào,32396
不逞,bùchěng,49358
薄荷脑,bòhe'nǎo,54375
补液,bǔyè,48636
不齿,bùchǐ,26532
擘划,bòhuà,54376
补遗,bǔyí,46792
不耻下问,bùchǐxiàwèn,42499
簸箕,bòji,24047
补益,bǔyì,37672
不啻,bùchì,18685
啵,bo,17841
补正,bǔzhèng,33436
不出所料,bùchūsuǒliào,31447
卜,bǔ,11549
补种,bǔzhòng,28384
不揣冒昧,bùchuǎimàomèi,49359
卜辞,bǔcí,48004
补助,bǔzhù,4173
不辞,bùcí,13311
卜卦,bǔguà,38398
补助金,bǔzhùjīn,22286
不辞而别,bùcí'érbié,27470
卜居,bǔjū,52017
补缀,bǔzhuì,41126
不错,bùcuò,1761
卜筮,bǔshì,43024
补足,bǔzú,22957
不打自招,bùdǎzìzhāo,42269
补,bǔ,1725
捕,bǔ,5394
不大离儿,bùdàlír,54378
补白,bǔbái,45896
捕风捉影,bǔfēngzhuōyǐng,29497
不待,bùdài,12405
不丹,bùdān,22958
不甘,bùgān,14225
不解,bùjiě,7009
不单,bùdān,13355
不甘寂寞,bùgānjìmò,29304
不解之缘,bùjiězhīyuán,21023
不但,bùdàn,666
不甘示弱,bùgānshìruò,29398
不禁,bùjīn,2829
不当,bùdàng,12500
不尴不尬,bùgānbùgà,49362
不仅,bùjǐn,341
不倒翁,bùdǎowēng,45898
不敢当,bùgǎndāng,16850
不仅仅,bùjǐnjǐn,4638
不得,bùdé,693
不更事,bùgēngshì,44761
不尽然,bùjìnrán,27096
不得不,bùdébù,1633
不公,bùgōng,10746
不近人情,bùjìnrénqíng,27557
不得而知,bùdé'érzhī,17951
不攻自破,bùgōngzìpò,35239
不经意,bùjīngyì,12561
不得了,bùdéliǎo,11065
不共戴天,bùgòngdàitiān,34091
不景气,bùjǐngqì,11517
不得要领,bùdéyàolǐng,32806
不苟言笑,bùgǒuyánxiào,33696
不胫而走,bùjìng'érzǒu,25083
不得已,bùdéyǐ,7270
不顾,bùgù,3084
不敬,bùjìng,24882
不等,bùděng,11006
不关,bùguān,21528
不久,bùjiǔ,1297
不等式,bùděngshì,50827
不管,bùguǎn,1273
不咎既往,bùjiùjìwǎng,51607
不敌,bùdí,10266
不管三七二十一,bùguǎnsānqīèrshíyī,35081
不拘,bùjū,16958
不点儿,bùdiǎnr,49360
不拘小节,bùjūxiǎojié,39824
不迭,bùdié,15299
不光,bùguāng,7739
不拘一格,bùjūyīgé,19246
不定,bùdìng,4703
不归路,bùguīlù,42026
不觉,bùjué,5306
不动产,bùdòngchǎn,20560
不规则,bùguīzé,18300
不绝,bùjué,5701
不动声色,bùdòngshēngsè,13507
不轨,bùguǐ,27969
不绝如缕,bùjuérúlǚ,43504
不冻港,bùdònggǎng,54379
不果,bùguǒ,43282
不绝于耳,bùjuéyú'ěr,21116
不独,bùdú,23998
不过,bùguò,476
不开眼,bùkāiyǎn,39624
不端,bùduān,42500
不过尔尔,bùguòěr'ěr,46793
不堪,bùkān,6117
不断,bùduàn,291
不过意,bùguòyì,35682
不堪回首,bùkānhuíshǒu,27558
不对劲,bùduìjìn,23165
不寒而栗,bùhánérlì,25276
不堪入目,bùkānrùmù,34355
不对头,bùduìtóu,24540
不好惹,bùhǎorě,37132
不堪设想,bùkānshèxiǎng,17044
不对味儿,bùduìwèir,52460
不好说,bùhǎoshuō,21210
不可,bùkě,520
不二法门,bù'èrfǎmén,48005
不好意思,bùhǎoyìsi,5136
不可告人,bùkěgàorén,23717
不二价,bù'èrjià,53889
不合,bùhé,11487
不可或缺,bùkěhuòquē,11568
不乏,bùfá,8456
不和,bùhé,32662
不可救药,bùkějiùyào,28552
不乏其例,bùfáqílì,49361
不哼不哈,bùhēngbùhā,54918
不可开交,bùkěkāijiāo,23012
不乏其人,bùfáqírén,34640
不欢而散,bùhuān'érsàn,31224
不可抗力,bùkěkànglì,33437
不法,bùfǎ,8202
不遑,bùhuáng,25016
不可理喻,bùkělǐyù,31119
不法之徒,bùfǎzhītú,28055
不讳,bùhuì,34932
不可名状,bùkěmíngzhuàng,41570
不凡,bùfán,13050
不惑,bùhuò,33839
不可胜数,bùkěshèngshǔ,37860
不妨,bùfáng,5623
不惑之年,bùhuòzhīnián,35988
不可收拾,bùkěshōushi,19447
不菲,bùfěi,17428
不羁,bùjī,26096
不可思议,bùkěsīyì,10339
不费吹灰之力,bùfèichuīhuīzhīlì,37859
不及,bùjí,4540
不可同日而语,bùkětóngrì'éryǔ,30911
不即不离,bùjíbùlí,45295
不忿,bùfèn,43281
不计,bùjì,9140
不可一世,bùkěyīshì,24745
不孚众望,bùfúzhòngwàng,55450
不计其数,bùjìqíshù,21372
不可逾越,bùkěyúyuè,25217
不服,bùfú,6614
不济,bùjì,18080
不可知论,bùkězhīlùn,44042
不符,bùfú,12168
不济事,bùjìshì,40259
不可终日,bùkězhōngrì,36626
不负重望,bùfùzhòngwàng,53371
不假思索,bùjiǎsīsuǒ,21373
不快,bùkuài,8691
不负众望,bùfùzhòngwàng,28220
不检,bùjiǎn,46794
不愧,bùkuì,12630
不复,bùfù,10517
不见得,bùjiàndé,8973
不赖,bùlài,25957
不干胶,bùgānjiāo,50106
不见经传,bùjiànjīngzhuàn,52461
不劳而获,bùláo'érhuò,36457
不老少,bùlǎoshǎo,54380
不善,bùshàn,11407
不懈,bùxiè,5962
不力,bùlì,7797
不甚了了,bùshènliǎoliǎo,38399
不信邪,bùxìnxié,36458
不利,bùlì,3623
不慎,bùshèn,12455
不兴,bùxīng,19595
不良,bùliáng,2415
不声不响,bùshēngbùxiǎng,28937
不省人事,bùxǐngrénshì,27716
不了了之,bùliǎoliǎozhī,22599
不胜,bùshèng,13912
不幸,bùxìng,2484
不料,bùliào,4915
不胜枚举,bùshèngméijǔ,21164
不休,bùxiū,12993
不吝,bùlìn,32158
不胜其烦,bùshèngqífán,47693
不修边幅,bùxiūbiānfú,38773
不伦不类,bùlúnbùlèi,22435
不失为,bùshīwéi,11903
不朽,bùxiǔ,9848
不论,bùlùn,2589
不时,bùshí,3264
不锈钢,bùxiùgāng,16218
不落窠臼,bùluòkējiù,54919
不时之需,bùshízhīxū,48637
不虚此行,bùxūcǐxíng,33840
不满,bùmǎn,4055
不识时务,bùshíshíwù,35835
不许,bùxǔ,9543
不蔓不枝,bùmànbùzhī,54920
不识抬举,bùshítáiju,38984
不宣而战,bùxuān'érzhàn,51609
不毛,bùmáo,33052
不实,bùshí,12198
不学无术,bùxuéwúshù,36297
不毛之地,bùmáozhīdì,29807
不是味儿,bùshìwèir,44762
不逊,bùxùn,25277
不免,bùmiǎn,4246
不适,bùshì,12298
不亚于,bùyàyú,16016
不妙,bùmiào,13701
不是,bùshi,564
不言而喻,bùyán'éryù,15338
不名一文,bùmíngyīwén,53890
不爽,bùshuǎng,31448
不要紧,bùyàojǐn,6282
不明,bùmíng,5634
不俗,bùsú,15860
不要脸,bùyàoliǎn,15155
不摸头,bùmōtóu,56364
不速之客,bùsùzhīkè,23512
不一,bùyī,12982
不谋而合,bùmóuérhé,26036
不遂,bùsuì,37486
不一而足,bùyī'érzú,23944
不睦,bùmù,38037
不同凡响,bùtóngfánxiǎng,23215
不依,bùyī,18721
不能自拔,bùnéngzìbá,23943
不痛不痒,bùtòngbùyǎng,36296
不依不饶,bùyībùráo,22174
不能自已,bùnéngzìyǐ,41345
不妥,bùtuǒ,13133
不宜,bùyí,5648
不配,bùpèi,16747
不外,bùwài,17896
不遗余力,bùyíyúlì,16510
不偏不倚,bùpiānbùyǐ,27636
不外乎,bùwàihū,20093
不已,bùyǐ,5438
不平,bùpíng,7498
不枉,bùwǎng,28057
不以为然,bùyǐwéirán,9782
不平则鸣,bùpíngzémíng,54921
不为已甚,bùwéiyǐshèn,50455
不以为意,bùyǐwéiyì,30240
不期而遇,bùqī'éryù,28299
不闻不问,bùwénbùwèn,25017
不义之财,bùyìzhīcái,26601
不起眼,bùqǐyǎn,14780
不无,bùwú,14527
不亦乐乎,bùyìlèhū,21251
不巧,bùqiǎo,21565
不无小补,bùwúxiǎobǔ,55888
不易,bùyì,4036
不求甚解,bùqiúshènjiě,39202
不务正业,bùwùzhèngyè,27398
不意,bùyì,11534
不屈,bùqū,15970
不惜,bùxī,6094
不翼而飞,bùyì'érfēi,29203
不屈不挠,bùqūbùnáo,15602
不下,bùxià,3577
不用,bùyòng,2951
不确,bùquè,32538
不下于,bùxiàyú,36785
不用说,bùyòngshuō,9903
不然,bùrán,4152
不相上下,bùxiāngshàngxià,24226
不由,bùyóu,4191
不仁,bùrén,18420
不详,bùxiáng,22737
不由得,bùyóude,6310
不忍,bùrěn,6799
不祥,bùxiáng,14688
不由分说,bùyóufēnshuō,21411
不忍卒读,bùrěnzúdú,50107
不像话,bùxiànghuà,21492
不由自主,bùyóuzìzhǔ,9949
不日,bùrì,24637
不消,bùxiāo,14942
不虞,bùyú,40260
不容,bùróng,6373
不消说,bùxiāoshuō,19044
不远千里,bùyuǎnqiānlǐ,35240
不容分说,bùróngfēnshuō,37861
不孝,bùxiào,18106
不远万里,bùyuǎnwànlǐ,27509
不容置喙,bùróngzhìhuì,56726
不肖,bùxiào,28058
不约而同,bùyuē'értóng,10689
不容置疑,bùróngzhìyí,21529
不肖子,bùxiàozǐ,51608
不孕症,bùyùnzhèng,43505
不如,bùrú,6954
不屑,bùxiè,10372
不再,bùzài,703
不辱使命,bùrǔshǐmìng,21117
不屑一顾,bùxièyīgù,19858
不在话下,bùzàihuàxià,22029
不三不四,bùsānbùsì,28056
不屑于,bùxièyú,21937
不择手段,bùzéshǒuduàn,18243
不粘锅,bùzhānguō,40049
布景,bùjǐng,15065
部落,bùluò,7364
不折不扣,bùzhébùkòu,12841
布局,bùjú,3317
部门,bùmén,631
不振,bùzhèn,14996
布控,bùkòng,32663
部首,bùshǒu,39825
不争,bùzhēng,25349
布朗族,bùlǎngzú,45296
部属,bùshǔ,19936
不正之风,bùzhèngzhīfēng,6594
布雷,bùléi,30912
部署,bùshǔ,2092
不支,bùzhī,24293
布料,bùliào,22600
部头,bùtóu,52904
不知,bùzhī,905
布满,bùmǎn,9805
部委,bùwěi,6039
不知不觉,bùzhībùjué,6427
布面,bùmiàn,42027
部位,bùwèi,5822
不知就里,bùzhījiùlǐ,47372
布匹,bùpǐ,25744
部下,bùxià,8270
不知死活,bùzhīsǐhuó,45899
布票,bùpiào,42028
部长,bùzhǎng,1061
不知所措,bùzhīsuǒcuò,12065
布设,bùshè,29707
部族,bùzú,16816
不知所云,bùzhīsuǒyún,28916
布施,bùshī,30450
埠头,bùtóu,41346
不知所终,bùzhīsuǒzhōng,46196
布头,bùtóu,34207
簿册,bùcè,49744
不值一提,bùzhíyītí,36786
布鞋,bùxié,16660
簿籍,bùjí,54382
不止,bùzhǐ,4523
布衣,bùyī,19448
簿记,bùjì,47084
不只,bùzhǐ,18806
布依族,bùyīzú,30451
簿子,bùzi,30914
不至于,bùzhìyú,6405
布展,bùzhǎn,30913
擦,cā,2621
不治,bùzhì,16959
布阵,bùzhèn,25745
擦边,cābiān,50828
不治之症,bùzhìzhīzhèng,32037
布置,bùzhì,4549
擦边球,cābiānqiú,33960
不致,bùzhì,10932
步,bù,397
擦黑儿,cāhēir,36459
不置可否,bùzhìkěfǒu,25589
步兵,bùbīng,10545
擦肩而过,cājiān'érguò,21980
不周,bùzhōu,25815
步步为营,bùbùwéiyíng,37674
擦屁股,cāpìgu,39625
不准,bùzhǔn,6679
步测,bùcè,56727
擦伤,cāshāng,35241
不着边际,bùzhuóbiānjì,26383
步调,bùdiào,33698
擦拭,cāshì,19687
不自量,bùzìliàng,43283
步伐,bùfá,2529
擦洗,cāxǐ,23830
不自量力,bùzìliànglì,38985
步法,bùfǎ,34501
擦子,cāzi,55889
不足,bùzú,877
步话机,bùhuàjī,44276
嚓,cā,56365
不足道,bùzúdào,29399
步犁,bùlí,52018
猜,cāi,4063
不足挂齿,bùzúguàchǐ,45011
步履,bùlǚ,15762
猜测,cāicè,8646
不足取,bùzúqǔ,36627
步履维艰,bùlǚwéijiān,31449
猜度,cāiduó,32929
不足为怪,bùzúwéiguài,31332
步枪,bùqiāng,13811
猜忌,cāijì,25816
不足为凭,bùzúwéipíng,51610
步人后尘,bùrénhòuchén,54381
猜枚,cāiméi,53373
不足为奇,bùzúwéiqí,21323
步入,bùrù,5737
猜谜,cāimí,36787
不足为训,bùzúwéixùn,46501
步哨,bùshào,42775
猜拳,cāiquán,34502
不作声,bùzuòshēng,10340
步态,bùtài,33699
猜透,cāitòu,43506
不作为,bùzuòwéi,18548
步行,bùxíng,8569
猜想,cāixiǎng,8514
布,bù,1936
步行街,bùxíngjiē,19823
猜疑,cāiyí,15958
布帛,bùbó,42270
步骤,bùzhòu,4633
才,cái,82
布菜,bùcài,53372
步子,bùzi,10080
才分,cáifèn,46795
布达拉宫,bùdálāgōng,22287
部,bù,235
才赋,cáifù,53891
布袋,bùdài,21566
部颁,bùbān,24227
才干,cáigàn,11744
布道,bùdào,34500
部队,bùduì,510
才高八斗,cáigāobādǒu,49363
布尔什维克,bù'ěrshíwéikè,25890
部分,bùfen,512
才华,cáihuá,8234
布防,bùfáng,34206
部件,bùjiàn,10240
才华横溢,cáihuáhéngyì,22098
布告,bùgào,17293
部将,bùjiàng,12280
才具,cáijù,44043
布谷鸟,bùgǔniǎo,33697
部类,bùlèi,49743
才力,cáilì,29911
才略,cáilüè,41127
财主,cáizhu,16817
采油,cǎiyóu,23013
才貌,cáimào,43284
裁,cái,6379
采育,cǎiyù,49364
才能,cáinéng,1918
裁兵,cáibīng,44508
采择,cǎizé,47697
才女,cáinǚ,29400
裁并,cáibìng,51225
采摘,cǎizhāi,12224
才气,cáiqì,23831
裁撤,cáichè,38608
采制,cǎizhì,51226
才情,cáiqíng,26963
裁处,cáichǔ,53374
采种,cǎizhǒng,43792
才识,cáishí,34356
裁定,cáidìng,8145
彩,cǎi,3141
才疏学浅,cáishūxuéqiǎn,47694
裁断,cáiduàn,52463
彩笔,cǎibǐ,40050
才思,cáisī,42271
裁夺,cáiduó,44277
彩车,cǎichē,32540
才学,cáixué,29305
裁缝,cáiféng,41128
彩绸,cǎichóu,37488
才艺,cáiyì,27970
裁缝,cáifeng,15707
彩带,cǎidài,28059
才智,cáizhì,17984
裁减,cáijiǎn,14421
彩旦,cǎidàn,55452
才子,cáizǐ,14918
裁剪,cáijiǎn,25891
彩蛋,cǎidàn,39626
才子佳人,cáizǐjiārén,29808
裁决,cáijué,8054
彩灯,cǎidēng,17486
材,cái,5746
裁军,cáijūn,12104
彩电,cǎidiàn,6224
材料,cáiliào,692
裁判,cáipàn,5866
彩蝶,cǎidié,34934
材质,cáizhì,25590
裁判员,cáipànyuán,12590
彩管,cǎiguǎn,55453
财,cái,4383
裁判长,cáipànzhǎng,36298
彩虹,cǎihóng,11218
财宝,cáibǎo,32539
裁员,cáiyuán,16589
彩绘,cǎihuì,21458
财帛,cáibó,37487
采,cǎi,2523
彩卷,cǎijuǎn,55890
财产,cáichǎn,1747
采办,cǎibàn,35416
彩扩,cǎikuò,52464
财产权,cáichǎnquán,16883
采编,cǎibiān,18612
彩礼,cǎilǐ,28147
财大气粗,cáidàqìcū,26671
采茶戏,cǎicháxì,47695
彩练,cǎiliàn,46197
财阀,cáifá,41800
采伐,cǎifá,10786
彩门,cǎimén,51611
财富,cáifù,2540
采访,cǎifǎng,1483
彩民,cǎimín,31817
财界,cáijiè,53892
采风,cǎifēng,12739
彩墨画,cǎimòhuà,50108
财经,cáijīng,4292
采购,cǎigòu,3189
彩排,cǎipái,29809
财会,cáikuài,16638
采购员,cǎigòuyuán,30570
彩牌楼,cǎipáilou,55891
财礼,cáilǐ,37862
采光,cǎiguāng,27813
彩棚,cǎipéng,51612
财力,cáilì,5466
采集,cǎijí,6515
彩票,cǎipiào,7385
财路,cáilù,34208
采景,cǎijǐng,55451
彩旗,cǎiqí,16287
财贸,cáimào,22858
采掘,cǎijué,22379
彩球,cǎiqiú,33438
财迷,cáimí,45297
采矿,cǎikuàng,10601
彩券,cǎiquàn,53375
财迷心窍,cáimíxīnqiào,52462
采录,cǎilù,42777
彩色,cǎisè,6615
财气,cáiqì,45900
采买,cǎimǎi,34092
彩色片,cǎisèpiàn,53376
财权,cáiquán,25350
采煤,cǎiméi,16818
彩饰,cǎishì,54383
财神,cáishén,17842
采蜜,cǎimì,38774
彩塑,cǎisù,38038
财神爷,cáishényé,28146
采纳,cǎinà,7974
彩陶,cǎitáo,32807
财势,cáishì,46796
采暖,cǎinuǎn,18722
彩头,cǎitóu,45597
财税,cáishuì,10081
采取,cǎiqǔ,760
彩霞,cǎixiá,27559
财团,cáituán,19182
采收,cǎishōu,27399
彩像,cǎixiàng,55454
财务,cáiwù,3042
采挖,cǎiwā,34933
彩印,cǎiyìn,39409
财物,cáiwù,9263
采写,cǎixiě,16487
彩釉,cǎiyòu,50829
财源,cáiyuán,16960
采血,cǎixiě,35683
彩云,cǎiyún,22685
财运,cáiyùn,42776
采样,cǎiyàng,21530
彩照,cǎizhào,34641
财政,cáizhèng,1195
采用,cǎiyòng,1258
彩纸,cǎizhǐ,39410
睬,cǎi,17820
菜叶,càiyè,27814
参照,cānzhào,8444
踩,cǎi,4156
菜油,càiyóu,40462
参照物,cānzhàowù,37676
踩道,cǎidào,52905
菜园,càiyuán,13051
参照系,cānzhàoxì,28385
踩点,cǎidiǎn,46198
菜籽,càizǐ,25411
参政,cānzhèng,11368
踩高跷,cǎigāoqiāo,41129
蔡,cài,7836
参酌,cānzhuó,46200
踩雷,cǎiléi,41515
参拜,cānbài,8015
餐,cān,5816
踩水,cǎishuǐ,46797
参半,cānbàn,34093
餐车,cānchē,30241
踩踏,cǎità,29401
参禅,cānchán,40694
餐点,cāndiǎn,56367
菜,cài,1146
参赌,cāndǔ,31924
餐馆,cānguǎn,7493
菜案,cài'àn,55455
参访,cānfǎng,22160
餐巾,cānjīn,38218
菜板,càibǎn,52019
参股,cāngǔ,13676
餐巾纸,cānjīnzhǐ,32931
菜帮子,càibāngzi,49365
参观,cānguān,2049
餐具,cānjù,14588
菜场,càichǎng,21617
参观团,cānguāntuán,32272
餐券,cānquàn,49366
菜单,càidān,17336
参加,cānjiā,248
餐室,cānshì,32664
菜刀,càidāo,16331
参检,cānjiǎn,53377
餐厅,cāntīng,6778
菜地,càidì,15971
参见,cānjiàn,24228
餐位,cānwèi,55456
菜点,càidiǎn,50456
参建,cānjiàn,23610
餐饮,cānyǐn,8326
菜店,càidiàn,54384
参校,cānjiào,52020
餐饮业,cānyǐnyè,13496
菜豆,càidòu,46199
参军,cānjūn,8596
餐桌,cānzhuō,8676
菜墩子,càidūnzi,54922
参看,cānkàn,11750
残,cán,3718
菜饭,càifàn,38400
参考,cānkǎo,4940
残奥会,cán'àohuì,34357
菜瓜,càiguā,50109
参考书,cānkǎoshū,25959
残败,cánbài,45013
菜馆,càiguǎn,25958
参量,cānliàng,53378
残暴,cánbào,16748
菜花,càihuā,27890
参谋,cānmóu,6315
残本,cánběn,38986
菜窖,càijiào,42778
参谋部,cānmóubù,37675
残币,cánbì,37454
菜金,càijīn,51613
参谋长,cānmóuzhǎng,6804
残兵败将,cánbīngbàijiàng,49367
菜篮子,càilánzi,12544
参拍,cānpāi,49745
残部,cánbù,35082
菜篮子工程,càilánzigōngchéng,43793
参评,cānpíng,18686
残喘,cánchuǎn,33555
菜鸟,càiniǎo,11991
参赛,cānsài,3871
残次,cáncì,46801
菜牛,càiniú,51614
参事,cānshì,15099
残次品,cáncìpǐn,55457
菜农,càinóng,13862
参试,cānshì,45012
残存,cáncún,19571
菜品,càipǐn,47085
参数,cānshù,9322
残敌,cándí,46503
菜圃,càipǔ,46798
参天,cāntiān,19045
残冬,cándōng,37677
菜谱,càipǔ,23778
参透,cāntòu,46502
残毒,cándú,44044
菜畦,càiqí,39826
参悟,cānwù,49746
残匪,cánfěi,46802
菜色,càisè,36628
参选,cānxuǎn,14314
残废,cánfèi,15440
菜市,càishì,32930
参演,cānyǎn,23611
残骸,cánhái,19596
菜市场,càishìchǎng,20196
参谒,cānyè,50457
残害,cánhài,13618
菜式,càishì,50110
参议,cānyì,23779
残疾,cánjí,7224
菜蔬,càishū,27971
参议会,cānyìhuì,43508
残疾车,cánjíchē,54385
菜薹,càitái,56366
参议员,cānyìyuán,14089
残疾人,cánjírén,3328
菜摊,càitān,38217
参与,cānyù,1231
残迹,cánjì,41571
菜团子,càituánzi,46799
参阅,cānyuè,26964
残旧,cánjiù,48315
菜系,càixì,43507
参赞,cānzàn,15300
残局,cánjú,28836
菜心,càixīn,46800
参展,cānzhǎn,7111
残卷,cánjuàn,54386
菜肴,càiyáo,16560
参战,cānzhàn,13677
残酷,cánkù,6018
残留,cánliú,8334
惨景,cǎnjǐng,45016
苍山,cāngshān,30571
残年,cánnián,39411
惨境,cǎnjìng,53380
苍生,cāngshēng,34643
残虐,cánnüè,42272
惨剧,cǎnjù,17985
苍松,cāngsōng,40695
残片,cánpiàn,28917
惨绝人寰,cǎnjuérénhuán,36145
苍天,cāngtiān,19364
残品,cánpǐn,56625
惨况,cǎnkuàng,52022
苍哑,cāngyǎ,54387
残破,cánpò,19597
惨厉,cǎnlì,44045
苍鹰,cāngyīng,41347
残棋,cánqí,52465
惨烈,cǎnliè,20409
苍蝇,cāngying,9341
残缺,cánquē,17457
惨然,cǎnrán,32397
苍郁,cāngyù,47373
残忍,cánrěn,10683
惨杀,cǎnshā,46803
沧海,cānghǎi,17650
残杀,cánshā,24428
惨死,cǎnsǐ,23216
沧海横流,cānghǎihéngliú,44046
残生,cánshēng,45598
惨痛,cǎntòng,14997
沧海桑田,cānghǎisāngtián,31450
残损,cánsǔn,40051
惨无人道,cǎnwúréndào,33053
沧海一粟,cānghǎiyīsù,46201
残雪,cánxuě,25412
惨象,cǎnxiàng,44279
沧桑,cāngsāng,9600
残阳,cányáng,33961
惨笑,cǎnxiào,32932
舱,cāng,5882
残余,cányú,12522
惨遭,cǎnzāo,16794
舱面,cāngmiàn,44280
残垣断壁,cányuánduànbì,38775
惨重,cǎnzhòng,12708
舱室,cāngshì,42273
残月,cányuè,34642
惨状,cǎnzhuàng,27717
舱位,cāngwèi,39627
残运会,cányùnhuì,27560
灿灿,càncàn,21493
藏,cáng,2948
残渣,cánzhā,27175
灿烂,cànlàn,4377
藏富,cángfù,52023
残渣余孽,cánzhāyúniè,52466
灿然,cànrán,38219
藏奸,cángjiān,55459
残障,cánzhàng,23708
粲然,cànrán,41572
藏龙卧虎,cánglóngwòhǔ,42779
残照,cánzhào,45014
仓,cāng,7887
藏匿,cángnì,17169
蚕,cán,9754
仓储,cāngchǔ,13548
藏品,cángpǐn,20990
蚕豆,cándòu,21618
仓储超市,cāngchǔchāoshì,56368
藏身,cángshēn,15569
蚕蛾,cán'é,49747
仓促,cāngcù,18645
藏书,cángshū,12111
蚕茧,cánjiǎn,28918
仓猝,cāngcù,21024
藏书票,cángshūpiào,39204
蚕农,cánnóng,44278
仓房,cāngfáng,32665
藏头露尾,cángtóulùwěi,48318
蚕桑,cánsāng,26299
仓皇,cānghuáng,16098
藏污纳垢,cángwūnàgòu,40696
蚕食,cánshí,21567
仓库,cāngkù,6444
藏掖,cángyē,52906
蚕室,cánshì,55458
仓容,cāngróng,41130
藏拙,cángzhuō,49369
蚕丝,cánsī,29708
仓位,cāngwèi,53893
操,cāo,4072
蚕蛹,cányǒng,44509
苍白,cāngbái,6758
操办,cāobàn,21324
蚕子,cánzǐ,47698
苍苍,cāngcāng,24164
操场,cāochǎng,9840
惭愧,cánkuì,9747
苍翠,cāngcuì,22550
操持,cāochí,21374
惭色,cánsè,49368
苍耳,cāng'ěr,53894
操刀,cāodāo,41131
惨,cǎn,6349
苍黄,cānghuáng,42029
操典,cāodiǎn,50830
惨案,cǎn'àn,15319
苍劲,cāngjìng,27561
操控,cāokòng,34209
惨白,cǎnbái,16989
苍空,cāngkōng,51227
操劳,cāoláo,19475
惨败,cǎnbài,19046
苍老,cānglǎo,13756
操练,cāoliàn,16332
惨变,cǎnbiàn,48316
苍凉,cāngliáng,15603
操琴,cāoqín,48991
惨不忍睹,cǎnbùrěndǔ,23513
苍龙,cānglóng,39203
操守,cāoshǒu,18187
惨淡,cǎndàn,20756
苍鹭,cānglù,51615
操心,cāoxīn,9023
惨淡经营,cǎndànjīngyíng,33556
苍绿,cānglǜ,48006
操行,cāoxíng,43285
惨毒,cǎndú,53379
苍茫,cāngmáng,14438
操演,cāoyǎn,41348
惨祸,cǎnhuò,37133
苍莽,cāngmǎng,48317
操之过急,cāozhīguòjí,29912
惨叫,cǎnjiào,20372
苍穹,cāngqióng,21694
操纵,cāozòng,8082
操作,cāozuò,2156
草木灰,cǎomùhuī,43026
侧视,cèshì,55461
操作系统,cāozuòxìtǒng,31000
草木皆兵,cǎomùjiēbīng,38777
侧室,cèshì,50833
糙,cāo,32159
草拟,cǎonǐ,22601
侧卧,cèwò,37489
糙米,cāomǐ,47374
草棚,cǎopéng,20653
侧翼,cèyì,36955
曹,cáo,5007
草皮,cǎopí,22126
侧影,cèyǐng,31452
嘈杂,cáozá,11689
草坪,cǎopíng,8305
侧枝,cèzhī,50834
槽,cáo,8056
草签,cǎoqiān,35989
侧重,cèzhòng,10090
